id,estado,antiguedad,modalidad,value
261,Ciudad de México,7.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
262,Ciudad de México,15.0,b.	Distancia,Selección de personal
263,Jalisco,10.0,c.	Mixta,Diseño de programas de capacitación
265,Baja California,1.0,c.	Mixta,Reincorporación al padrón electoral
266,Campeche,22.0,c.	Mixta,Desarrollo de normativa
267,Ciudad de México,21.0,b.	Distancia,"Planeación de planes, programas y proyectos"
268,Jalisco,25.0,b.	Distancia,Impartición de capacitación
269,Ciudad de México,1.0,c.	Mixta,Atención de asuntos jurídicos
270,Guanajuato,30.0,b.	Distancia,Distribución de documentación y material electoral
271,Sonora,2.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
272,Chiapas,1.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
273,San Luis Potosí,26.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
275,Baja California Sur,12.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
276,Baja California,30.0,a.	Presencial,"Planeación de planes, programas y proyectos"
277,Jalisco,8.0,b.	Distancia,Fiscalización a los sujetos obligados
278,México,22.0,c.	Mixta,Administración de tecnología de información y comunicaciones
279,Ciudad de México,17.0,c.	Mixta,"Planeación de planes, programas y proyectos"
280,México,8.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
281,Chihuahua,1.0,a.	Presencial,Fiscalización a los sujetos obligados
282,Oaxaca,10.0,c.	Mixta,Atención de asuntos jurídicos
283,Sinaloa,4.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
284,Hidalgo,10.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
285,Michoacán,25.0,b.	Distancia,Administración de centros de cómputo
286,Coahuila,20.0,b.	Distancia,Selección de personal
289,Quintana Roo,5.0,b.	Distancia,Diseño de programas de capacitación
290,Michoacán,28.0,b.	Distancia,Administración de tecnología de información y comunicaciones
291,Colima,27.0,b.	Distancia,"Planeación de planes, programas y proyectos"
292,Ciudad de México,20.0,a.	Presencial,"Evaluación de planes, programas y proyectos"
293,Nayarit,14.0,b.	Distancia,Construcción de la cartografía electoral
294,Ciudad de México,22.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
296,Chiapas,4.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
297,México,13.0,b.	Distancia,Depuración del padrón electoral
298,Tamaulipas,4.0,b.	Distancia,Operación de módulos de atención ciudadana
299,Veracruz,25.0,c.	Mixta,Impartición de capacitación
300,Quintana Roo,13.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
301,Guerrero,23.0,c.	Mixta,Procesamiento informático
302,Guanajuato,30.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
303,Guanajuato,30.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
304,Coahuila,21.0,c.	Mixta,Verificación del padrón electoral
305,Tlaxcala,1.0,a.	Presencial,Depuración del padrón electoral
306,Michoacán,27.0,a.	Presencial,Administración de tecnología de información y comunicaciones
308,Jalisco,25.0,b.	Distancia,Verificación del padrón electoral
309,México,4.0,b.	Distancia,Operación de módulos de atención ciudadana
310,Chihuahua,14.0,b.	Distancia,Atención de asuntos jurídicos
313,Coahuila,16.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
314,México,2.0,b.	Distancia,Administración de tecnología de información y comunicaciones
316,Querétaro,30.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
317,Guanajuato,20.0,c.	Mixta,Atención de asuntos jurídicos
318,Guanajuato,32.0,b.	Distancia,Depuración del padrón electoral
319,México,20.0,c.	Mixta,Selección de personal
321,Veracruz,27.0,b.	Distancia,Atención de asuntos jurídicos
322,Sinaloa,22.0,b.	Distancia,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
323,Yucatán,22.0,b.	Distancia,Diseño de programas de capacitación
324,Sonora,2.5,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
325,Jalisco,4.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
326,Veracruz,23.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
329,Aguascalientes,21.0,b.	Distancia,Administración de base de datos
330,Chiapas,17.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
331,Tabasco,30.0,c.	Mixta,Reincorporación al padrón electoral
333,Ciudad de México,10.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
334,Ciudad de México,6.0,b.	Distancia,Fiscalización a los sujetos obligados
335,Durango,3.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
336,Sonora,10.0,b.	Distancia,Reincorporación al padrón electoral
337,Sinaloa,6.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
338,Ciudad de México,19.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
339,Michoacán,29.0,c.	Mixta,Selección de personal
340,Puebla,20.0,c.	Mixta,Selección de personal
341,Quintana Roo,2.0,b.	Distancia,Desarrollo de normativa
342,Puebla,13.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
343,Morelos,28.0,b.	Distancia,Operación de módulos de atención ciudadana
344,México,25.0,b.	Distancia,Gestión de franquicias postales y/o telegráficas
345,Ciudad de México,10.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
346,Ciudad de México,11.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
347,México,30.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
348,Baja California,4.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
349,Chiapas,17.0,c.	Mixta,Selección de personal
350,Baja California,8.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
351,México,19.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
353,Baja California Sur,5.0,b.	Distancia,"Planeación de planes, programas y proyectos"
354,Veracruz,1.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
355,Jalisco,1.5,a.	Presencial,Selección de personal
356,Coahuila,11.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
357,Oaxaca,29.0,a.	Presencial,Distribución de documentación y material electoral
359,Michoacán,13.0,b.	Distancia,"Planeación de planes, programas y proyectos"
360,México,1.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
361,Durango,5.0,a.	Presencial,Atención de asuntos jurídicos
362,Michoacán,31.0,b.	Distancia,Operación de módulos de atención ciudadana
364,Campeche,2.0,b.	Distancia,Construcción de la cartografía electoral
366,Ciudad de México,23.0,a.	Presencial,Administración de tecnología de información y comunicaciones
367,Sonora,20.0,c.	Mixta,Atención de asuntos jurídicos
368,México,29.0,a.	Presencial,"Evaluación de planes, programas y proyectos"
370,México,11.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
372,Veracruz,8.0,b.	Distancia,"Planeación de planes, programas y proyectos"
373,Veracruz,8.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
374,Jalisco,27.0,c.	Mixta,Administración de tecnología de información y comunicaciones
376,México,21.0,b.	Distancia,"Planeación de planes, programas y proyectos"
377,Michoacán,13.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
378,Nuevo León,5.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
379,Oaxaca,0.34,b.	Distancia,Impartición de capacitación
381,Hidalgo,31.0,a.	Presencial,Selección de personal
383,Jalisco,7.0,b.	Distancia,Administración de tecnología de información y comunicaciones
384,México,31.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
385,Jalisco,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
386,Michoacán,22.0,b.	Distancia,Construcción de la cartografía electoral
387,Guanajuato,4.0,b.	Distancia,Distribución de documentación y material electoral
388,Jalisco,13.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
389,Jalisco,17.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
390,Nuevo León,7.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
391,México,11.0,b.	Distancia,Administración de base de datos
392,Jalisco,5.0,b.	Distancia,"Planeación de planes, programas y proyectos"
394,Ciudad de México,7.0,b.	Distancia,Fiscalización a los sujetos obligados
395,Ciudad de México,3.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
396,Hidalgo,20.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
397,Chiapas,29.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
398,Michoacán,10.0,b.	Distancia,Procesamiento informático
399,México,25.0,c.	Mixta,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
400,México,22.0,b.	Distancia,"Planeación de planes, programas y proyectos"
401,Tabasco,10.0,a.	Presencial,Diseño de programas de capacitación
402,Zacatecas,31.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
403,Tlaxcala,13.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
405,Ciudad de México,1.0,c.	Mixta,Procesamiento informático
406,Michoacán,10.0,a.	Presencial,Selección de personal
407,Chihuahua,32.0,a.	Presencial,"Diseño, mejora y producción de documentación electoral"
409,Durango,3.0,b.	Distancia,Verificación del padrón electoral
410,Tamaulipas,13.0,b.	Distancia,Operación de módulos de atención ciudadana
411,Baja California,12.0,c.	Mixta,Diseño de materiales de capacitación
412,Ciudad de México,16.0,b.	Distancia,Atención de asuntos jurídicos
413,Chiapas,2.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
414,México,5.0,c.	Mixta,Verificación del padrón electoral
416,Baja California,32.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
417,Ciudad de México,7.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
418,Ciudad de México,13.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
419,Nayarit,22.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
420,Guanajuato,4.5,c.	Mixta,Verificación del padrón electoral
421,Guerrero,31.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
422,Ciudad de México,0.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
423,Tlaxcala,28.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
424,Jalisco,25.0,b.	Distancia,Procesamiento informático
425,Puebla,21.0,c.	Mixta,Fiscalización a los sujetos obligados
426,Ciudad de México,10.0,b.	Distancia,Diseño de programas de capacitación
427,Nuevo León,32.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
429,Guerrero,28.0,c.	Mixta,Administración de base de datos
430,Baja California Sur,3.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
431,Coahuila,13.0,b.	Distancia,Verificación del padrón electoral
432,Coahuila,1.6,a.	Presencial,Registro de actos de partidos y agrupaciones políticas
433,Baja California,16.0,b.	Distancia,Procesamiento informático
434,Ciudad de México,29.0,b.	Distancia,Impartición de capacitación
435,Veracruz,12.0,b.	Distancia,Construcción de la cartografía electoral
436,Yucatán,11.0,b.	Distancia,Desarrollo de sistemas
437,Ciudad de México,27.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
438,Nuevo León,32.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
439,Veracruz,1.5,c.	Mixta,Selección de personal
440,Nuevo León,30.0,b.	Distancia,Construcción de la cartografía electoral
441,Veracruz,5.0,b.	Distancia,Impartición de capacitación
442,Puebla,25.0,b.	Distancia,Desarrollo de sistemas
443,Michoacán,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
446,Guanajuato,4.0,c.	Mixta,"Planeación de planes, programas y proyectos"
448,Puebla,4.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
449,Hidalgo,1.0,c.	Mixta,Impartición de capacitación
450,Guerrero,0.1,b.	Distancia,Selección de personal
451,Guerrero,2.0,a.	Presencial,Atención de asuntos jurídicos
452,Baja California,8.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
453,México,3.0,a.	Presencial,Operación de módulos de atención ciudadana
454,Michoacán,31.0,b.	Distancia,"Planeación de planes, programas y proyectos"
455,México,11.0,c.	Mixta,Atención de asuntos jurídicos
456,Veracruz,0.5,c.	Mixta,Depuración del padrón electoral
457,México,31.0,c.	Mixta,Selección de personal
458,Ciudad de México,1.0,c.	Mixta,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
460,Ciudad de México,13.0,c.	Mixta,Administración de los tiempos del estado en radio y televisión
461,Ciudad de México,20.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
462,Chihuahua,29.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
464,México,25.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
465,México,11.0,c.	Mixta,"Planeación de planes, programas y proyectos"
466,Puebla,10.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
467,México,13.0,b.	Distancia,Desarrollo de normativa
468,Ciudad de México,17.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
469,Guerrero,1.0,b.	Distancia,Desarrollo de normativa
470,México,10.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
471,Ciudad de México,4.0,b.	Distancia,Procesamiento informático
472,Ciudad de México,29.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
473,Baja California,4.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
474,Oaxaca,5.0,a.	Presencial,Impartición de capacitación
475,Puebla,29.0,b.	Distancia,Impartición de capacitación
476,México,22.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
477,Durango,30.0,b.	Distancia,Administración de tecnología de información y comunicaciones
479,Guerrero,14.0,c.	Mixta,Almacenamiento de documentación y material electoral
480,Veracruz,29.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
481,Veracruz,30.0,a.	Presencial,Selección de personal
482,Tabasco,2.0,b.	Distancia,Atención de asuntos jurídicos
483,Jalisco,9.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
484,Guanajuato,30.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
485,Chihuahua,25.0,b.	Distancia,Procesamiento informático
486,México,25.0,b.	Distancia,Desarrollo de normativa
487,Chiapas,1.0,b.	Distancia,Fiscalización a los sujetos obligados
489,México,16.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
490,Quintana Roo,7.9,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
491,Tamaulipas,4.0,b.	Distancia,"Planeación de planes, programas y proyectos"
492,Zacatecas,7.0,c.	Mixta,Depuración del padrón electoral
494,México,15.0,a.	Presencial,Fiscalización a los sujetos obligados
496,Jalisco,13.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
497,Ciudad de México,27.0,b.	Distancia,Desarrollo de sistemas
498,Nuevo León,1.0,a.	Presencial,Verificación del padrón electoral
499,México,13.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
500,México,22.0,b.	Distancia,Administración de centros de cómputo
501,Michoacán,18.0,b.	Distancia,Distribución de documentación y material electoral
502,Michoacán,17.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
503,Michoacán,5.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
504,México,6.0,c.	Mixta,Diseño de programas de capacitación
505,Durango,31.0,a.	Presencial,Administración de los tiempos del estado en radio y televisión
506,México,5.0,b.	Distancia,Selección de personal
507,Michoacán,29.0,b.	Distancia,Depuración del padrón electoral
508,México,11.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
510,Puebla,26.0,b.	Distancia,Administración de centros de cómputo
511,Chihuahua,0.0,b.	Distancia,Almacenamiento de documentación y material electoral
512,México,25.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
513,Chiapas,12.0,b.	Distancia,Procesamiento informático
515,Tabasco,20.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
517,Puebla,15.0,b.	Distancia,Depuración del padrón electoral
518,México,9.0,b.	Distancia,Reincorporación al padrón electoral
519,Baja California,8.0,a.	Presencial,Atención de asuntos jurídicos
520,México,1.0,b.	Distancia,Diseño de programas de capacitación
523,México,7.0,b.	Distancia,Atención de asuntos jurídicos
524,Jalisco,8.0,c.	Mixta,Operación de módulos de atención ciudadana
525,Baja California,4.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
526,México,22.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
527,Chiapas,11.0,a.	Presencial,Diseño de materiales de capacitación
528,Ciudad de México,1.0,c.	Mixta,Desarrollo de normativa
529,Guanajuato,5.0,a.	Presencial,Desarrollo de sistemas
531,México,22.0,b.	Distancia,Impartición de capacitación
534,Ciudad de México,10.0,c.	Mixta,Diseño de programas de capacitación
535,Coahuila,1.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
536,Puebla,29.0,a.	Presencial,"Planeación de planes, programas y proyectos"
537,Tabasco,7.0,c.	Mixta,Operación de módulos de atención ciudadana
538,Sonora,11.0,c.	Mixta,Fiscalización a los sujetos obligados
539,Ciudad de México,29.0,b.	Distancia,Desarrollo de normativa
540,Veracruz,4.0,b.	Distancia,Procesamiento informático
541,Tabasco,1.5,c.	Mixta,"Diseño, mejora y producción de material electoral"
542,Campeche,20.0,c.	Mixta,Desarrollo de normativa
543,Jalisco,22.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
544,Ciudad de México,10.0,a.	Presencial,Registro de actos de partidos y agrupaciones políticas
546,Guanajuato,1.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
547,Querétaro,7.0,b.	Distancia,Fiscalización a los sujetos obligados
548,México,16.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
550,Sonora,25.0,c.	Mixta,Administración de tecnología de información y comunicaciones
551,Chiapas,31.0,b.	Distancia,"Planeación de planes, programas y proyectos"
554,Ciudad de México,1.0,c.	Mixta,"Planeación de planes, programas y proyectos"
556,Guanajuato,17.0,b.	Distancia,Impartición de capacitación
557,Yucatán,25.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
560,Ciudad de México,29.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
561,Sinaloa,14.0,c.	Mixta,Distribución de documentación y material electoral
562,Nuevo León,0.0,c.	Mixta,Almacenamiento de documentación y material electoral
564,Chiapas,1.0,a.	Presencial,"Planeación de planes, programas y proyectos"
566,Ciudad de México,7.0,a.	Presencial,Procesamiento informático
567,Ciudad de México,5.0,b.	Distancia,Atención de asuntos jurídicos
570,Jalisco,8.0,a.	Presencial,Selección de personal
571,Ciudad de México,22.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
572,Veracruz,8.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
573,Chiapas,3.0,c.	Mixta,Administración de tecnología de información y comunicaciones
574,México,20.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
575,México,2.0,b.	Distancia,Desarrollo de normativa
576,México,30.0,c.	Mixta,Atención de asuntos jurídicos
578,México,7.0,a.	Presencial,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
579,Tamaulipas,7.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
580,Tamaulipas,5.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
581,Tabasco,25.0,c.	Mixta,Atención de asuntos jurídicos
582,México,1.0,c.	Mixta,Construcción de la cartografía electoral
583,Jalisco,23.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
584,Sonora,13.0,c.	Mixta,Fiscalización a los sujetos obligados
585,Tabasco,30.0,c.	Mixta,Verificación del padrón electoral
586,Morelos,21.0,c.	Mixta,Construcción de la cartografía electoral
587,México,10.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
588,Jalisco,11.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
589,Chihuahua,1.0,b.	Distancia,Construcción de la cartografía electoral
590,Chihuahua,31.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
591,Guerrero,31.0,b.	Distancia,Selección de personal
592,Ciudad de México,20.0,b.	Distancia,"Planeación de planes, programas y proyectos"
593,Guanajuato,22.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
595,Nayarit,15.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
596,México,30.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
597,Veracruz,4.0,c.	Mixta,Verificación del padrón electoral
600,Veracruz,23.0,a.	Presencial,Desarrollo de normativa
601,Jalisco,10.6,c.	Mixta,Depuración del padrón electoral
602,México,20.0,c.	Mixta,Impartición de capacitación
603,Michoacán,31.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
604,México,13.0,a.	Presencial,Construcción de la cartografía electoral
605,Ciudad de México,12.0,c.	Mixta,Diseño de materiales de capacitación
606,Guanajuato,4.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
608,Michoacán,11.0,c.	Mixta,Administración de base de datos
609,Ciudad de México,10.0,b.	Distancia,Desarrollo de sistemas
610,Tlaxcala,14.0,b.	Distancia,Atención de asuntos jurídicos
611,Chiapas,25.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
612,Ciudad de México,13.0,b.	Distancia,Administración de base de datos
613,Colima,23.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
614,México,10.0,c.	Mixta,Construcción de la cartografía electoral
616,Ciudad de México,24.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
617,Puebla,27.0,c.	Mixta,"Planeación de planes, programas y proyectos"
618,Zacatecas,31.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
621,Ciudad de México,21.0,c.	Mixta,Desarrollo de normativa
622,Guerrero,4.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
623,Tabasco,7.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
624,Querétaro,22.0,b.	Distancia,Operación de módulos de atención ciudadana
625,Zacatecas,31.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
626,México,23.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
627,Guanajuato,25.0,b.	Distancia,Desarrollo de sistemas
629,Chihuahua,5.0,b.	Distancia,Depuración del padrón electoral
631,Ciudad de México,13.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
632,México,22.0,c.	Mixta,Procesamiento informático
633,México,23.0,c.	Mixta,Atención de asuntos jurídicos
634,Ciudad de México,5.0,b.	Distancia,Administración de centros de cómputo
635,Coahuila,1.0,b.	Distancia,"Planeación de planes, programas y proyectos"
636,México,1.0,a.	Presencial,Procesamiento informático
637,Nuevo León,24.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
638,Tamaulipas,1.0,c.	Mixta,"Planeación de planes, programas y proyectos"
639,Michoacán,20.0,c.	Mixta,"Planeación de planes, programas y proyectos"
640,Colima,2.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
641,Baja California Sur,12.0,c.	Mixta,Impartición de capacitación
642,México,14.0,b.	Distancia,Diseño de programas de capacitación
643,Nuevo León,1.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
646,Chiapas,10.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
647,Chihuahua,23.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
648,Yucatán,19.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
649,Quintana Roo,10.0,b.	Distancia,Diseño de programas de capacitación
650,Veracruz,4.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
651,Ciudad de México,0.0,c.	Mixta,Operación de módulos de atención ciudadana
652,México,29.0,b.	Distancia,Desarrollo de normativa
653,Hidalgo,13.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
654,Chihuahua,28.0,c.	Mixta,Selección de personal
655,México,31.0,b.	Distancia,Depuración del padrón electoral
656,México,17.0,c.	Mixta,Selección de personal
657,Guanajuato,29.0,c.	Mixta,Selección de personal
658,México,10.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
659,Coahuila,6.0,b.	Distancia,Administración de base de datos
660,México,20.0,c.	Mixta,Diseño de programas de capacitación
662,México,11.0,c.	Mixta,"Planeación de planes, programas y proyectos"
663,Coahuila,0.0,c.	Mixta,Impartición de capacitación
664,México,22.0,c.	Mixta,"Planeación de planes, programas y proyectos"
665,Chiapas,31.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
666,Veracruz,15.0,b.	Distancia,Selección de personal
667,Guerrero,28.0,a.	Presencial,Desarrollo de sistemas
668,Michoacán,7.0,c.	Mixta,Atención de asuntos jurídicos
669,Tamaulipas,8.0,c.	Mixta,Desarrollo de normativa
670,Jalisco,1.0,b.	Distancia,Fiscalización a los sujetos obligados
671,Veracruz,25.0,a.	Presencial,Distribución de documentación y material electoral
672,Ciudad de México,12.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
676,Veracruz,1.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
677,Veracruz,25.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
679,Yucatán,5.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
680,México,4.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
681,Ciudad de México,20.0,b.	Distancia,Gestión de franquicias postales y/o telegráficas
682,Puebla,1.2,a.	Presencial,"Diseño, mejora y producción de documentación electoral"
683,Ciudad de México,22.0,c.	Mixta,Selección de personal
684,Ciudad de México,1.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
685,Baja California,30.0,c.	Mixta,Operación de módulos de atención ciudadana
686,Michoacán,17.0,b.	Distancia,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
687,Puebla,21.0,b.	Distancia,Administración de tecnología de información y comunicaciones
688,México,22.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
689,Guanajuato,20.0,b.	Distancia,Administración de base de datos
690,México,5.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
691,Veracruz,19.0,b.	Distancia,Construcción de la cartografía electoral
692,México,5.0,c.	Mixta,Selección de personal
693,Baja California Sur,6.0,b.	Distancia,Diseño de materiales de capacitación
694,Sonora,7.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
695,Hidalgo,6.0,c.	Mixta,Procesamiento informático
698,Guanajuato,30.0,b.	Distancia,Selección de personal
699,Jalisco,6.0,b.	Distancia,Atención de asuntos jurídicos
